BRAND_NAME,TYPE,NIC,TAR,CO,LEN,FLTR,PACK,STRENGTH,STYLE,OTHER
BRONSON,REGULAR,0.8,10,14,85,F,HARD,LIGHT,.,.
BRONSON,REGULAR,0.9,14,18,85,F,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,0.8,10,13,85,F,SOFT,LIGHT,.,.
BRONSON,REGULAR,0.5,5,7,85,F,SOFT,ULTRA LIGHT,.,.
BRONSON,REGULAR,1.5,20,14,85,NF,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,1,15,20,100,F,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,1,15,21,100,F,SOFT,FULL FLAVOR,.,.
BRONSON,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
BRONSON,REGULAR,0.8,10,15,100,F,SOFT,LIGHT,.,.
BRONSON,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
BRONSON,REGULAR,0.5,5,7,100,F,SOFT,ULTRA LIGHT,.,.
BRONSON,REGULAR,0.5,6,6,100,F,SOFT,ULTRA LIGHT,.,.
CAMBRIDG,REGULAR,0.7,10,13,84,F,SOFT,LIGHT,,FSC
CAMBRIDG,REGULAR,0.7,9,11,84,F,SOFT,LIGHT,,
CAMBRIDG,REGULAR,0.7,10,12,98,F,HARD,LIGHT,,
CAMBRIDG,REGULAR,0.5,5,8,98,F,HARD,ULTRA LIGHT,,
CAMBRIDG,REGULAR,1,16,18,99,F,SOFT,FULL FLAVOR,,FSC
CAMBRIDG,REGULAR,0.9,14,15,99,F,SOFT,FULL FLAVOR,,
CAMBRIDG,REGULAR,0.8,12,15,99,F,SOFT,LIGHT,,FSC
CAMBRIDG,REGULAR,0.7,10,12,99,F,SOFT,LIGHT,,
CAMBRIDG,REGULAR,0.4,6,9,99,F,SOFT,ULTRA LIGHT,,FSC
CAMBRIDG,REGULAR,0.4,5,8,99,F,SOFT,ULTRA LIGHT,,
Camel,REGULAR,1.7,23,13,69,NF,SOFT,FULL FLAVOR,,
Camel,REGULAR,1.2,17,17,79,F,HARD,FULL FLAVOR,WIDES,
Camel,REGULAR,0.9,11,10,79,F,HARD,LIGHT,WIDES,
Camel,REGULAR,1.2,16,12,83,F,HARD,FULL FLAVOR,,
Camel,REGULAR,1.2,16,13,83,F,HARD,FULL FLAVOR,,
Camel,REGULAR,0.7,10,10,83,F,HARD,LIGHT,,SPECIAL
Camel,REGULAR,1,13,12,83,F,HARD,LIGHT,,T-ROYAL
Camel,REGULAR,0.7,9,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.7,9,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.8,10,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.8,10,10,83,F,HARD,LIGHT,,
Camel,REGULAR,0.4,5,6,83,F,HARD,ULTRA LIGHT,,
Camel,REGULAR,1.2,16,13,84,F,SOFT,FULL FLAVOR,,
Camel,REGULAR,0.9,11,10,84,F,SOFT,LIGHT,,
Camel,REGULAR,0.9,12,12,85,F,HARD,FULL FLAVOR,,
Camel,REGULAR,0.9,12,12,85,F,HARD,FULL FLAVOR,,
Camel,REGULAR,0.9,12,13,85,F,HARD,FULL FLAVOR,,
Camel,REGULAR,1,11,12,85,F,HARD,LIGHT,,
Camel,REGULAR,1.2,16,14,98,F,HARD,FULL FLAVOR,,
Camel,REGULAR,0.8,10,10,98,F,HARD,LIGHT,,SPECIAL
Camel,REGULAR,0.8,9,10,98,F,HARD,LIGHT,,
Camel,REGULAR,0.9,10,11,98,F,HARD,LIGHT,,
Camel,REGULAR,0.4,5,6,98,F,HARD,ULTRA LIGHT,,
Camel,REGULAR,1,11,12,100,F,HARD,LIGHT,,
Camel,REGULAR,1.3,17,15,100,F,SOFT,FULL FLAVOR,,
Camel,REGULAR,0.9,11,11,100,F,SOFT,LIGHT,,
CANADIAN,REGULAR,1,11,9,72,F,HARD,ULTRA LIGHT,,
CANADIAN,REGULAR,1.1,13,11,72,F,HARD,LIGHT,,
CANADIAN,REGULAR,1.3,16,14,72,F,HARD,REGULAR,,
CANADIAN,REGULAR,1.1,11,11,84,F,HARD,ULTRA LIGHT,,
CANADIAN,REGULAR,1.2,12,13,84,F,HARD,LIGHT,,
Capri,REGULAR,0.8,9,6,100,F,HARD,LIGHT,,
Capri,REGULAR,0.5,5,4,100,F,HARD,ULTRA LIGHT,,
Capri,REGULAR,1,12,8,120,F,HARD,LIGHT,,
Carlton,REGULAR,0.1,1,1,85,F,HARD,ULTRA LIGHT,,
Carlton,REGULAR,0.1,1,2,85,F,SOFT,ULTRA LIGHT,,
Carlton,REGULAR,0.1,1,1,100,F,HARD,ULTRA LIGHT,,
Carlton,REGULAR,0.1,1,1,100,F,SOFT,ULTRA LIGHT,,
Carlton,REGULAR,0.5,5,3,120,F,SOFT,ULTRA LIGHT,SLIMS,
Charter,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Charter,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Charter,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Charter,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Charter,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
Charter,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Charter,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Charter,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
CHESTER,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,FSC
CHESTER,REGULAR,0.7,10,12,83,F,HARD,LIGHT,,
CHESTER,REGULAR,1,15,15,83,F,HARD,REGULAR,,FSC
CHESTER,REGULAR,1,14,13,83,F,HARD,REGULAR,,
CHESTER,REGULAR,1.3,22,14,83,NF,SOFT,REGULAR,,FSC
CHESTER,REGULAR,1.1,18,11,83,NF,SOFT,REGULAR,,
CHESTER,REGULAR,0.8,10,12,98,F,HARD,LIGHT,,FSC
CHESTER,REGULAR,0.7,9,11,98,F,HARD,LIGHT,,
CHESTER,REGULAR,1.1,15,16,98,F,HARD,REGULAR,,FSC
CHESTER,REGULAR,1,14,15,98,F,HARD,REGULAR,,
Cimarron,REGULAR,0.9,15,15,83,F,HARD,FULL FLAVOR,,
Cimarron,REGULAR,0.8,11,13,83,F,HARD,LIGHT,,
Cimarron,REGULAR,0.9,15,16,84,F,SOFT,FULL FLAVOR,,
Cimarron,REGULAR,0.7,10,12,84,F,SOFT,LIGHT,,
Cimarron,REGULAR,0.4,4,6,84,F,SOFT,ULTRA LIGHT,,
Cimarron,REGULAR,0.9,14,17,99,F,SOFT,FULL FLAVOR,,
Cimarron,REGULAR,0.8,10,11,99,F,SOFT,LIGHT,,
Cimarron,REGULAR,0.4,5,7,99,F,SOFT,ULTRA LIGHT,,
CLASS A -,REGULAR,0.9,14,18,85,F,SOFT,FULL FLAVOR,.,.
CLASS A -,REGULAR,0.8,10,13,85,F,SOFT,LIGHT,.,.
CLASS A -,REGULAR,0.5,6,6,85,F,SOFT,ULTRA LIGHT,.,.
