"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"1","Southeast","Junior","Brown","West","Basketball","meh","Taylor swift","Snapchat","no","1","1","3","Some combination of two","white","15","11","3","What even is the Perimeter ","The Loop","10","No","Ketchup","no","yes","Greek life","Time","3","3","2","4","Coke","Chandler","4","House Stark","Friends","Burrito Bowl","Charizard","5","Brie","Dog","Pizza","chocolate","Chipotle","No","No","Clean Laundry","46.5","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
"1","Midwest","Sophomore","Black","West","Basketball","yes","none of these","Facebook","yes","1","3","1","Nutella","unsure","10","18","3","Inside","Edens Cafe (lol)","12","Yes","Ketchup","yes","no, I was not eligible due to age or citizenship status","SLG","Time","12","3","3","4","Coke","Phoebe","3",NA,"Gilmore Girls","Burrito Bowl","Jigglypuff","4","Pepperjack","Dog","Jimmy John's","chocolate","Chipotle","Sometimes","Yes","Pine","50",NA,"Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"2","Southeast","Junior","Brown","West","Basketball","yes","none of these","Instagram","yes","2","2","1","Nutella","none","6","13","3","What even is the Perimeter ","Edens Cafe (lol)","8","Yes","Maple Syrup","no","yes","Athletic Team","Time","8","0","2","1","Coke","Rachel","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Feta","Dog","Pizza","chocolate","Chipotle","Sometimes","No","Pizza","46","powdered eggs","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","4"
"0","Southeast","Sophomore","Brown","West","Basketball","yes","none of these","Facebook","no","1","2","1","Some combination of two","black","8","12","5","What even is the Perimeter ","The Loop","5","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","3","0","15","No preference","Chandler","2",NA,"Friends","Burrito Bowl","Charizard","5","Cheddar","Dog","Pizza","chocolate","Satisfactions","Sometimes","No","Old Spice/Axe/Perfume","49","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Mid-Atlantic","Sophomore","Brown","West","Basketball","hell yes","Beyonce","Facebook","it's complicated","1","2","2","Nutella","none","13","12","6","What even is the Perimeter ","Edens Cafe (lol)","100","No","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Greek life","Outer space","11","3","0","12","Coke","Monica","2","House Tyrell","Gilmore Girls","Burrito","Blastoise","5","Brie","Dog","Pizza","sweet-and-salty","Chipotle","No","No","Pizza","49","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"1","New England","Junior","Brown","West","Basketball","hell yes","Beyonce","Facebook","no","1","2","2","Nutella","none","5","13","3",NA,"Divinity Refectory","100","No","Soy Sauce","no","yes","SLG","Time","3","1","1","4","Coke","Phoebe","3","House Stark","House of Cards","Burrito Bowl","Jigglypuff","6","Brie","Dog","Cosmic","fruity","Chipotle","No","Yes","Clean Laundry","49.5","powdered eggs","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","3"
"1","Southeast","Junior","Black","Central","I don't watch sports","I don't care. #teamnicki","none of these","Snapchat","yes","0","2","0","Nutella","none","5","16","1","Inside","Divinity Refectory","0","Yes","Ketchup","no","yes","Greek life","Time","12","0","0","0","Coke","Rachel","2","House Targaryen","Gilmore Girls","Salad","Rayquaza","6","Pepperjack","Dog","Cookout","chocolate","Chamas","No","No","Bakery","50","chocolate covered crickets","Harry Potter","Legend of Zelda","Slytherin (because I'll cut you)","0"
"3","Mid-Atlantic","Senior","Brown","West","Other","meh","none of these","Facebook","yes","2","1","2","Nutella","none","5","16","1","What even is the Perimeter ","Divinity Refectory","2","Yes","Honey Mustard","no","yes","Independent","Time","5","1","0","3","Coke","Joey","2","House Lannister","House of Cards","Burrito Bowl","Charizard",NA,"Goat","Dog","Cookout","chocolate","Chamas","No","No","Pine","50","watery pasta","Lord of the Rings/Hobbit","Lord of the Rings","Ravenclaw (because I'm better than you)","1"
"2","Southeast","Junior","Brown","Central","Football","hell yes","Beyonce","Facebook","no","0","1","4","Nutella","none","5","12","2",NA,"Other","7","Yes","Sriracha","no","yes","SLG","Time","2","0","0","6","No preference","Monica","3","House Targaryen","How I Met Your Mother","Burrito Bowl","Venusaur","2","None of the above","Cat","Cosmic","chocolate","Chipotle","No","Yes","Bakery","58","the giant roasted hog","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","1"
"3","Midwest","Junior","Brown","Central","Football","meh","Florida-Georgia Line","Facebook","it's complicated","2","2","3","Some combination of two","none","6","6","10","What even is the Perimeter ","Other",NA,"Yes","Maple Syrup","no","yes","Greek life","Time","17","10","4","2","Coke","Joey","3","House Targaryen","Breaking Bad","Burrito Bowl","Blastoise","5","Feta","Dog","Cookout","vanilla","Chipotle","Sometimes","No","Bakery","64","powdered eggs","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","3"
NA,"Southeast","First-year","Brown","East","Soccer","meh","none of these","Twitter","yes","1","2","2","None","blue","0","13","3","What even is the Perimeter ","None of the above","3","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","10","6","5","5","Coke","Ross","1","House Stark","How I Met Your Mother","Soft tacos","Blastoise","6","Cheddar","Dog","Pizza","fruity","Chipotle","No","No","Old Spice/Axe/Perfume","50","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","2"
"0","California","Junior","Blonde","Off campus","Other","I don't care. #teamnicki","Taylor swift","Instagram","yes","2","1","0","Some combination of two","unsure","10","10","5","Outside","None of the above","2","No","Maple Syrup","no","no, I was eligible but chose not to vote","Athletic Team","Time","1","3","2","10","Coke","Rachel","4","House Lannister","House of Cards","Burrito Bowl","Jigglypuff",NA,"Brie","Dog","Pitchforks","chocolate","Satisfactions","Sometimes","No","Pizza","60","watery pasta","Lord of the Rings/Hobbit","Lord of the Rings","Slytherin (because I'll cut you)","10"
"0","Mid-Atlantic","Junior","Black","West","Other","hell yes","Beyonce","Facebook","it's complicated","1","3","1","Nutella","none","14","14","10","What even is the Perimeter ","Other","12","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","17","4","5","5","Coke","Joey","3","House Targaryen","House of Cards","Burrito Bowl","Charizard","4","Brie","Dog","Cookout","chocolate","Parker and Otis","Yes","No","Clean Laundry","58","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","1"
"0","Southeast","First-year","Black","East","Soccer","hell yes","Kendrick Lamar","Facebook","no","1","3","0","Nutella","none","4",NA,"2","What even is the Perimeter ","Divinity Refectory","5","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","11","2","2","0","Pepsi","Phoebe","3","House Targaryen","House of Cards","Burrito","Charizard","7","Pepperjack","Cat","Jimmy John's","chocolate","Cosmic","Yes","Yes","Pine","53","salad bar","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
